A1,A2,A3,B1,B2,B3,C1,C2,C3,2-A1,2-A2,2-A3,2-B1,2-B2,2-B3,2-C1,2-C2,2-C3,
1,3,8,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,
1,3,7,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,
1,0,8,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,
2,1,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,
1,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,
0,0,1,0,0,0,2,1,2,0,1,0,0,0,0,0,3,2,
0,0,1,0,0,0,2,1,1,0,1,0,0,0,0,0,6,0,
0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,7,3,
0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,8,3,
1,0,2,0,0,0,2,0,3,0,1,0,0,0,0,0,10,5,
0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,14,4,
0,1,1,0,0,0,2,1,2,0,2,0,0,0,0,0,16,5,
1,0,0,0,0,0,3,1,2,0,1,0,0,0,0,0,16,4,
0,0,0,0,0,1,1,2,3,0,1,0,0,0,0,0,17,6,
0,0,0,0,0,0,4,2,4,0,2,0,0,0,0,0,20,4,
0,0,0,0,0,0,2,3,3,0,1,0,0,0,0,0,25,3,
0,0,0,0,0,2,2,2,3,0,0,0,0,0,0,0,22,4,
0,0,1,0,0,0,3,2,5,0,0,0,0,0,0,0,26,9,
0,0,0,0,0,0,3,2,5,0,1,0,0,0,0,0,26,4,
0,1,1,0,0,0,2,3,4,0,1,0,0,0,0,0,29,5,
0,0,2,0,0,0,4,2,4,0,0,0,0,0,0,0,32,9,
1,2,2,0,1,0,5,2,5,0,2,0,0,0,0,0,36,7,
2,3,3,0,0,0,2,2,5,0,0,0,0,0,0,0,39,8,
1,2,5,0,0,0,5,3,6,0,1,0,0,0,0,0,41,10,
4,3,4,0,0,0,6,2,5,0,3,0,0,0,0,0,44,9,
1,3,6,0,0,0,5,4,6,0,1,0,0,0,0,0,45,11,
4,4,6,0,0,1,5,4,4,0,3,0,0,0,0,0,45,8,
3,6,9,0,0,0,4,3,4,0,3,0,0,0,0,0,48,9,
5,8,9,0,0,0,5,5,3,0,2,0,0,0,0,0,49,10,
5,8,9,0,0,0,5,4,3,0,2,0,0,0,0,0,48,10,
5,12,11,0,0,0,5,5,4,0,3,0,0,0,0,0,50,12,
5,12,11,0,0,0,4,5,5,0,3,0,0,0,0,1,52,12,
6,13,11,0,0,0,6,6,4,0,5,0,0,0,0,0,53,14,
8,13,11,0,0,0,6,4,4,0,4,0,0,0,0,0,54,11,
7,14,11,0,1,1,7,6,5,0,4,0,0,0,0,0,53,14,
6,13,10,0,0,0,6,6,6,0,4,1,0,0,0,0,54,15,
6,16,10,0,0,0,5,7,5,0,3,0,0,0,0,0,55,16,
7,16,12,0,1,0,6,7,4,0,3,0,0,0,0,1,53,14,
8,17,13,0,0,0,6,7,5,0,3,0,0,0,0,1,56,15,
8,17,12,0,0,1,5,9,6,0,3,1,0,0,0,1,56,17,
8,18,11,0,1,1,7,8,6,0,2,0,0,0,0,0,55,17,
7,16,12,0,0,0,7,8,6,0,3,1,0,0,0,0,50,12,
7,13,10,0,0,0,7,8,5,0,3,0,0,0,0,0,45,11,
7,10,9,0,0,0,5,5,5,0,1,0,0,0,0,0,32,6,
3,5,9,0,0,0,1,2,3,0,2,0,0,0,0,0,19,4,
1,1,5,0,0,0,1,0,1,0,0,0,0,0,0,0,13,0,
0,0,3,0,0,0,1,3,3,0,1,0,0,0,0,0,4,0,
1,0,3,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,
1,0,2,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,
0,1,1,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,
1,0,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,
0,0,2,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,
1,0,2,0,0,0,2,1,1,0,3,0,0,0,0,0,0,0,
1,0,4,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,
0,1,3,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,
1,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
1,2,6,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,
3,2,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,
4,3,8,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,
1,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,
1,1,7,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,
2,1,5,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,
2,0,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,
1,0,2,0,0,0,2,0,2,0,2,0,0,0,0,0,7,0,
0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,8,2,
1,0,0,0,0,0,1,1,2,0,1,0,0,0,0,0,14,2,
0,0,1,0,0,1,1,0,2,0,3,0,0,0,0,0,19,3,
0,0,1,0,0,0,1,0,4,0,2,0,0,0,0,0,22,3,
0,0,2,0,0,0,2,1,2,0,3,0,0,0,0,0,23,5,
0,0,0,0,0,0,3,0,3,0,1,0,0,0,0,0,25,6,
0,0,1,0,0,0,3,1,3,0,1,0,0,0,0,0,26,4,
0,0,1,0,0,0,2,0,4,0,1,0,0,0,0,0,27,5,
0,0,0,0,0,0,2,1,4,0,1,0,0,0,0,0,31,6,
0,0,0,0,0,0,3,1,3,0,3,0,0,0,0,0,41,8,
0,0,0,0,0,0,1,1,4,0,2,0,0,0,0,0,42,10,
0,0,0,0,0,0,1,0,4,0,2,0,0,0,0,0,46,11,
0,0,0,0,0,0,2,0,4,0,2,0,0,0,0,1,50,15,
1,0,1,0,0,0,3,0,2,0,1,0,0,0,0,3,51,16,
1,0,2,0,0,0,3,0,2,0,0,0,0,0,0,9,57,20,
0,0,2,0,0,0,2,0,4,0,0,0,0,0,0,12,61,28,
1,0,2,0,0,0,1,1,3,0,1,0,0,0,0,15,62,34,
0,0,1,0,0,0,1,0,3,0,1,0,0,0,0,33,65,36,
0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,40,70,40,
2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,41,72,46,
0,0,2,0,0,0,1,0,2,0,0,1,0,0,0,18,71,42,
