A1,A2,A3,B1,B2,B3,C1,C2,C3,2-A1,2-A2,2-A3,2-B1,2-B2,2-B3,2-C1,2-C2,2-C3,
7,8,12,3,3,6,1,1,2,42,66,58,0,0,0,18,48,24,
6,9,12,3,4,6,1,0,2,45,69,63,0,0,0,18,49,27,
5,6,10,2,3,7,1,1,1,50,71,65,0,0,0,20,49,28,
5,5,11,3,3,7,0,1,2,50,71,66,0,0,0,19,50,28,
3,8,12,4,4,6,1,1,3,51,77,69,0,0,0,20,55,30,
4,7,12,3,5,6,1,1,2,53,80,67,0,0,0,21,55,30,
4,6,13,3,5,6,1,0,3,55,80,71,0,0,0,21,55,30,
5,8,13,3,4,8,2,1,4,56,83,73,0,0,0,21,55,30,
5,7,14,2,4,8,2,2,4,60,85,74,0,0,0,23,55,31,
5,7,13,3,5,7,2,2,3,63,85,77,1,0,1,22,55,34,
3,8,12,4,5,8,0,2,5,62,86,75,0,1,0,23,56,32,
4,8,13,4,5,7,2,3,4,64,82,77,0,1,0,23,50,30,
5,8,13,3,5,9,2,3,5,57,59,51,0,0,0,19,37,21,
5,11,12,3,8,7,3,4,5,44,37,32,0,0,0,14,27,15,
7,10,14,3,5,7,3,4,5,34,24,15,0,0,0,13,18,13,
6,15,16,3,7,5,2,4,5,23,16,8,0,0,0,12,15,6,
7,16,16,4,7,7,4,4,4,14,13,6,0,0,0,8,14,6,
7,21,17,4,8,7,2,4,3,11,14,4,0,0,0,6,13,4,
11,26,23,7,10,6,0,4,4,13,12,5,0,0,0,6,11,6,
13,37,27,7,11,7,1,4,2,10,8,5,0,0,0,7,12,5,
14,41,31,8,13,10,1,3,3,9,12,4,0,0,0,6,13,6,
17,51,36,9,18,9,3,7,3,9,11,3,0,0,0,7,13,5,
17,58,46,13,19,11,3,5,4,8,11,4,0,0,0,6,14,6,
21,63,48,14,23,15,2,4,5,8,10,4,0,0,0,8,12,7,
16,75,56,13,28,17,3,6,5,9,10,2,0,0,0,9,13,5,
19,73,55,17,30,20,3,8,5,9,8,1,0,0,0,8,11,4,
16,80,60,18,36,22,5,9,7,7,8,2,0,0,0,8,13,3,
17,83,62,23,43,24,5,10,7,9,9,1,0,0,0,7,11,4,
18,86,64,24,44,30,4,10,9,7,8,2,0,0,0,6,11,5,
